ID,CallerText,Delay,IsTerminal,Outcome,IsAutoProceed,AutoNextID,Choice1Text,C1_NextID,Choice2Text,C2_NextID,Choice3Text,C3_NextID,ScenarioName,TimerDuration,Timeout_NextID
Test_01,นี้911ตำรวจโอเปอร์เรเตอร์ครับ มีอะไรให้ช่วยไหมครับ,2.5,FALSE,Neutral,TRUE,Test_02,,,,,,,อีธาน เมย์สัน,,
Test_02,ฉันรู้สึกเหมือนมีคนอยู่เดินอยู่รอบๆบ้านของฉันล...และก็ได้ยินเสียงกระดิ่งเป็นช่วงๆค่ะ ฉันควรทำยังไงดีคะ?,5,FALSE,Neutral,FALSE,,ตอนนี้คุณอยู่ที่ไหน,CS_1,ตอนนี้คุณอยู่กับใครบ้างครับ,CS_2,เสียงกระดิ่งหรอ?,CS_3,แคททาลีน,,
CS_1,ฉันอยู่ที่ถนนสาย8 ซอยมินเตอร์ บ้านเลขที่128/5ฉันชื่อคแคททาลีนค่ะ,5,FALSE,Neutral,TRUE,P1_1,,,,,,,แคททาลีน,,
CS_2,ฉันอยู่ตัวคนเดียวค่ะตอนนี้ฉันอยู่ที่สาย8ซอยมินเตอร์ บ้านเลขที่128/5 ฉันชื่อแคททาลีนค่ะ,5,FALSE,Neutral,TRUE,P1_1,,,,,,,แคททาลีน,,
CS_3,ใช่ค่ะ คือมันดังเป็นช่วงๆตามรอบๆบ้านของฉันค่ะ ฉันต้องทำยังไงดีค่ะ?,5,FALSE,Neutral,FALSE,,โอเคร ผมเข้าใจแล้วครับตอนนี้คุณอยู่ที่ไหน,CS_4,เขาอาจจะขี่วัวเล่นก็ได้,CS_5,,,แคททาลีน,,
P1_1,ทราบแล้วครับ เด---,5,FALSE,Neutral,TRUE,CS_6,,,,,,,อีธาน เมย์สัน,,
CS_4,เอ่อฉันอยู่ที่ถนนสาย8ซอยมินเตอร์ บ้านเลขที่128/5 ฉันชื่อแคททาลีนค่ะ,5,FALSE,Neutral,TRUE,P1_1,,,,,,,แคททาลีน,,
P1_2,ถ้าเป็นงั้นจริง ช่วยบอกสถานที่ที่คุณอยู่ด้วยครับ,5,FALSE,Neutral,TRUE,CS_4,,,,,,,อีธาน เมย์สัน,,
CS_5,ไม่ใช่วัวแน่ๆค่ะ มันเป็นเสียงเท้าคนจริงๆ,5,FALSE,Neutral,TRUE,P1_2,,,,,,,แคททาลีน,,
CS_6,ว้ายยยยยย!!,3,FALSE,Neutral,FALSE,,เกิดอะไรขึ้น รายงานสถานการณ์มาด้วยครับ,CS_11,,,,,แคททาลีน,4,
CS_7,ทำไงดีๆๆๆๆๆๆๆ ช่วยฉันด้วย,5,FALSE,Neutral,TRUE,P1_3,,,,,,,แคททาลีน,,
P1_3,ใจเย็นๆไว้ครับ คุณแคททาลีน,5,FALSE,Neutral,TRUE,CS_8,,,,,,,อีธาน เมย์สัน,,
CS_8,ช่วยฉันด้วยค่ะ ช่วยฉันด้วย,5,FALSE,Neutral,TRUE,P1_4,,,,,,,แคททาลีน,,
P1_4,คุณแคททาลีนตั้งสติไว้,5,FALSE,Neutral,TRUE,CS_9,,,,,,,อีธาน เมย์สัน,,
CS_9,กรี้ดดดดดดดด,4,FALSE,Neutral,TRUE,P1_5,,,,,,,แคททาลีน,,
P1_5,ไอเหี้ยเอ้ย!,4,TRUE,Failure,FALSE,,,,,,,,อีธาน เมย์สัน,,
Radio_01,รายงานสถานการณ์ครับ ตอนนี้มีเหตุบุกรุกสถานที่ ที่ถนนสาย8 ซอยมินเตอร์ บ้านเลขที่125/8 ทราบแล้วเปลี่ยน,4,FALSE,Neutral,TRUE,Radio_02,,,,,,,อีธาน เมย์สัน,,
Radio_02,รับทราบตอนนี้พวกเรากำลังจะขับรถไปตามสถานที่ดังกล่าว,5,TRUE,Neutral,FALSE,,,,,,,,คริส,,
,,,,,,,,,,,,,,,
CS_10,คุณตำรวจ คุณมันโครตกากเลย แค่ยื้อเวลาให้เหยื่อคนๆเดียวยังทำไม่ได้ คุณมาเป็นตำรวจได้ยังไง,5,FALSE,Neutral,TRUE,P1_6,,,,,,,ฆาตกร,,
P1_6,ไอ...ควยเอ้ยยย!!,3,TRUE,Neutral,FALSE,,,,,,,,อีธาน เมย์สัน,,
,,,,,,,,,,,,,,,
Radio_03,พบศพของหญิงสาวคนหนึ่ง แผลของศพมีหลายจุดดูจากลักษณะคาดว่าอาจถูกแทงด้วยมีด,3,FALSE,Neutral,TRUE,Radio_04,,,,,,,คริส,,
Radio_04,รับทราบ,2,TRUE,Neutral,FALSE,,,,,,,,อีธาน เมย์สัน,,
,,,,,,,,,,,,,,,
CS_11,ข...เขากำลังพังประตูเข้ามาค่ะ จ...จะทำยังไงดีคะ?,5,FALSE,Neutral,TRUE,P1_7,,,,,,,แคททาลีน,,
P1_7,แคททาลีน ใจเย็นๆ ตอนนี้คุณต้องหาที่ซ่อนก่อนครับ,5,FALSE,Neutral,TRUE,CS_12,,,,,,,อีธาน เมย์สัน,,
